budget,popularity,revenue,runtime,title,vote_average,vote_count,,,,,,,,,,
18000000,1.138383,871279,338,Carlos,6.7,50,,,,,,,,,,
31115000,13.244365,71000000,248,Cleopatra,6.7,146,,,,,,,,,,
4000000,48.98255,400176459,238,Gone with the Wind,7.7,970,,,,,,,,,,
600000,3.409764,34505110,225,Woodstock,7.1,66,,,,,,,,,,
44000000,5.380124,3484331,219,Heaven's Gate,6.4,55,,,,,,,,,,
15000000,41.286336,69995385,216,Lawrence of Arabia,7.8,851,,,,,,,,,,
56000000,4.362535,12923936,214,Gods and Generals,6.1,48,,,,,,,,,,
2000000,39.756748,271841,207,Seven Samurai,8.2,878,,,,,,,,,,
34000000,19.822791,48169908,202,Malcolm X,7.2,370,,,,,,,,,,
94000000,123.630332,1118888979,201,The Lord of the Rings: The Return of the King,8.1,8064,,,,,,,,,,
13000000,105.792936,47542841,200,The Godfather: Part II,8.3,3338,,,,,,,,,,
20000000,3.011205,15473333,199,The Greatest Story Ever Told,6.5,41,,,,,,,,,,
11000000,12.854853,111858363,197,Doctor Zhivago,7.4,247,,,,,,,,,,
385907,3.232447,8394751,197,Intolerance,7.4,60,,,,,,,,,,
22000000,104.469351,321365567,195,Schindler's List,8.3,4329,,,,,,,,,,
32000000,4.602185,40382659,195,Reds,7.1,67,,,,,,,,,,
200000000,100.025899,1845034188,194,Titanic,7.5,7562,,,,,,,,,,
27000000,17.567332,21500000,193,The Right Stuff,7.3,235,,,,,,,,,,
7400000,3.246903,17000000,193,Kabhi Alvida Naa Kehna,6.1,42,,,,,,,,,,
7000000,3.721858,29385320,192,Veer-Zaara,7.4,64,,,,,,,,,,
44000000,3.770161,13681765,192,Nixon,7.1,71,,,,,,,,,,
22000000,35.227212,77737889,191,Gandhi,7.4,716,,,,,,,,,,
67000000,16.637642,25037897,191,Grindhouse,6.8,459,,,,,,,,,,
63000000,13.859307,25052000,191,Wyatt Earp,6.5,202,,,,,,,,,,
60000000,103.698022,284600000,189,The Green Mile,8.2,4048,,,,,,,,,,
40000000,26.82041,205405498,189,JFK,7.5,502,,,,,,,,,,
37000000,30.993736,48451803,188,Magnolia,7.5,825,,,,,,,,,,
19000000,4.229942,4750000,188,The Fall of the Roman Empire,6,33,,,,,,,,,,
207000000,61.22601,550000000,187,King Kong,6.6,2337,,,,,,,,,,
3000000,13.338539,10000000,186,Judgment at Nuremberg,7.6,155,,,,,,,,,,
11000000,29.543331,20000000,184,Barry Lyndon,7.7,505,,,,,,,,,,
15000000,19.786392,50000000,183,The Deer Hunter,7.8,921,,,,,,,,,,
140000000,34.20669,449220945,183,Pearl Harbor,6.6,1791,,,,,,,,,,
22000000,45.707835,424208848,181,Dances with Wolves,7.6,1046,,,,,,,,,,
9000000,7.623979,83304330,181,Fiddler on the Roof,7.4,134,,,,,,,,,,
100000000,95.007934,392000694,180,The Wolf of Wall Street,7.9,6571,,,,,,,,,,
79000000,106.914973,926287400,179,The Lord of the Rings: The Two Towers,8,7487,,,,,,,,,,
93000000,138.049577,871368364,178,The Lord of the Rings: The Fellowship of the Ring,8,8705,,,,,,,,,,
52000000,40.06688,116112375,178,Casino,7.8,1307,,,,,,,,,,
10000000,19.524972,50100000,178,The Longest Day,7.2,234,,,,,,,,,,
90000000,36.069611,142940100,178,Meet Joe Black,6.9,1147,,,,,,,,,,
72000000,60.722162,210000000,177,Braveheart,7.7,3336,,,,,,,,,,
80000000,14.564667,17626234,177,The Postman,6.1,299,,,,,,,,,,
6000000,143.659698,245066411,175,The Godfather,8.4,5893,,,,,,,,,,
5000000,49.333137,5321508,175,Once Upon a Time in the West,8.1,1128,,,,,,,,,,
22000000,20.256571,50750000,175,A Bridge Too Far,6.9,207,,,,,,,,,,
155000000,39.019229,167298192,175,Alexander,5.6,927,,,,,,,,,,
8200000,37.960289,286214286,174,The Sound of Music,7.4,941,,,,,,,,,,
4000000,35.061467,11744471,172,The Great Escape,7.8,717,,,,,,,,,,
2100000,8.38717,23650000,172,The Best Years of Our Lives,7.6,143,,,,,,,,,,
12000000,21.933822,89800000,172,Patton,7.3,323,,,,,,,,,,
102000000,73.872343,130482868,172,Cloud Atlas,6.6,2977,,,,,,,,,,
700000,9.188431,7830611,171,Hoop Dreams,7.7,87,,,,,,,,,,
8250000,7.973109,30000000,171,Quo Vadis,7,63,,,,,,,,,,
25000000,70.105981,65884703,170,Scarface,8,2948,,,,,,,,,,
17000000,20.786616,72070731,170,My Fair Lady,7.4,352,,,,,,,,,,
52000000,40.072583,98126565,170,The Thin Red Line,7.2,771,,,,,,,,,,
116000000,45.616098,102000000,170,The Aviator,7,1489,,,,,,,,,,
60000000,12.867352,186883563,170,The Horse Whisperer,6.7,292,,,,,,,,,,
7000000,3.120016,1310673,170,Hard to Be a God,6.7,41,,,,,,,,,,
1000000,0.043023,623791,170,Fiza,6.1,7,,,,,,,,,,
165000000,724.247784,675120017,169,Interstellar,8.1,10867,,,,,,,,,,
70000000,76.041867,481840909,169,Saving Private Ryan,7.9,5048,,,,,,,,,,
250000000,108.849621,1021103568,169,The Hobbit: An Unexpected Journey,7,8297,,,,,,,,,,
300000000,139.082615,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500,,,,,,,,,,
44000000,68.717016,155760117,167,The Hateful Eight,7.6,4274,,,,,,,,,,
100000000,46.160048,193772504,167,Gangs of New York,7.1,1910,,,,,,,,,,
150000000,60.269279,333932083,166,The Curious Case of Benjamin Button,7.3,3292,,,,,,,,,,
100000000,82.121691,425368238,165,Django Unchained,7.8,10099,,,,,,,,,,
250000000,112.31295,1084939099,165,The Dark Knight Rises,7.6,9106,,,,,,,,,,
110000000,23.657284,215294342,165,The Patriot,6.8,1099,,,,,,,,,,
130000000,28.840997,49554002,165,Australia,6.3,694,,,,,,,,,,
210000000,116.840296,1091405097,165,Transformers: Age of Extinction,5.8,3095,,,,,,,,,,
4000000,43.40352,44349000,164,Boyhood,7.5,1971,,,,,,,,,,
7000000,14.672151,8373585,164,The Last Temptation of Christ,7,201,,,,,,,,,,
70000000,29.035222,130358911,164,Munich,6.9,696,,,,,,,,,,
23000000,21.189028,43984230,163,The Last Emperor,7.4,355,,,,,,,,,,
130000000,64.798873,185258983,163,Watchmen,7,2811,,,,,,,,,,
9400000,14.562991,60000000,163,"It's a Mad, Mad, Mad, Mad World",7,140,,,,,,,,,,
175000000,66.803149,497409852,163,Troy,6.9,2759,,,,,,,,,,
8000000,9.548391,27187653,163,A Passage to India,6.9,67,,,,,,,,,,
55000000,23.127561,100230832,163,Any Given Sunday,6.8,422,,,,,,,,,,
237000000,150.437577,2787965087,162,Avatar,7.2,11800,,,,,,,,,,
54000000,59.194915,136766062,162,The Godfather: Part III,7.1,1546,,,,,,,,,,
27000000,29.381878,231976425,162,The English Patient,7,542,,,,,,,,,,
1200000,88.377076,6000000,161,"The Good, the Bad and the Ugly",8.1,2311,,,,,,,,,,
3000000,23.109959,33300000,161,The Bridge on the River Kwai,7.7,542,,,,,,,,,,
